Release_ID,Commits,Bugs_Reported,Critical_Bugs,Test_Coverage,Failed_Test_Cases,Code_Churn,Cyclomatic_Complexity,Files_Changed,Developer_Experience,Security_Vulnerabilities,Build_Time_Minutes,Deployment_Frequency,Risk_Level
R0001,347,3,0,87.6,7,3757,13,95,2.0,5,39,3,Medium
R0002,322,13,0,56.3,6,3911,37,78,0.9,1,50,18,Medium
R0003,234,7,7,80.9,25,206,15,90,6.6,2,14,7,High
R0004,410,10,1,59.1,3,5981,27,78,4.3,0,51,15,Medium
R0005,294,3,3,58.5,9,6025,17,91,1.5,5,19,10,High
R0006,60,27,3,93.1,12,4654,34,82,12.6,1,28,12,Medium
R0007,127,21,4,85.9,21,1269,15,69,11.1,1,34,13,Medium
R0008,158,29,8,64.7,10,1016,19,106,1.0,2,30,9,High
R0009,53,6,5,64.4,15,6582,34,19,4.3,1,52,18,High
R0010,295,8,6,94.5,12,6030,19,18,7.9,0,53,2,Medium
R0011,460,3,2,82.6,25,7016,9,50,6.0,3,38,9,Medium
R0012,303,27,0,84.9,3,8897,22,99,9.8,0,23,14,Low
R0013,100,14,0,97.0,23,4415,37,98,3.1,0,60,10,Medium
R0014,450,20,8,81.8,4,6226,15,70,14.3,4,5,20,Medium
R0015,185,15,0,59.9,11,5138,20,8,4.0,4,10,3,Medium
R0016,394,15,1,98.0,17,2160,13,85,7.4,4,15,9,Medium
R0017,290,27,6,97.4,17,3395,24,52,14.9,5,28,15,High
R0018,480,16,7,60.3,7,1149,26,3,9.0,1,42,8,High
R0019,23,2,0,65.1,1,5513,9,66,4.0,5,36,7,Medium
R0020,296,4,4,65.7,15,6769,17,13,1.9,3,27,14,Medium
R0021,230,14,0,84.6,20,1712,8,52,11.1,6,60,4,Medium
R0022,147,6,3,78.6,4,7012,16,36,7.2,6,9,15,Medium
R0023,433,27,8,59.3,20,8956,5,12,13.9,6,20,6,High
R0024,228,15,7,64.4,12,1060,15,49,0.5,3,21,15,High
R0025,166,13,8,84.1,15,2636,17,38,3.7,0,42,18,Medium
R0026,51,23,5,57.5,18,7911,37,118,12.9,1,8,17,High
R0027,61,27,2,58.0,2,3953,30,16,14.2,4,20,19,Medium
R0028,324,1,1,73.4,18,9360,38,41,14.1,1,47,11,Medium
R0029,142,8,6,60.8,20,5015,34,41,14.0,0,5,15,Medium
R0030,338,18,1,58.2,6,8388,21,17,14.0,0,20,12,Medium
R0031,165,5,5,91.7,22,5056,38,2,10.2,4,24,4,High
R0032,500,28,2,66.6,3,9164,14,35,4.6,1,50,11,Medium
R0033,124,21,4,77.2,8,932,10,82,6.6,2,7,1,Medium
R0034,190,24,2,83.0,8,2747,33,71,10.7,4,5,4,Medium
R0035,58,30,2,79.0,11,9643,40,19,6.7,0,24,12,Medium
R0036,480,29,0,94.6,6,4188,11,46,11.8,6,31,20,Medium
R0037,403,4,3,93.0,25,3000,31,4,3.1,2,55,14,Medium
R0038,430,21,3,66.7,25,1871,29,112,1.1,3,19,7,High
R0039,438,29,7,70.4,25,3828,19,4,10.1,3,26,9,High
R0040,462,2,2,70.5,16,6648,39,43,14.1,0,21,6,Medium
R0041,317,30,4,56.7,19,7219,27,94,11.9,3,43,17,High
R0042,79,12,3,66.2,22,7244,5,67,13.9,4,48,7,High
R0043,206,13,1,96.8,10,5243,12,93,13.6,4,24,14,Medium
R0044,187,12,4,79.4,6,6988,29,87,11.3,1,44,19,Medium
R0045,174,12,8,91.7,9,4800,18,56,11.9,4,46,11,High
R0046,258,14,7,84.7,16,7852,15,85,1.7,4,47,20,High
R0047,191,2,2,84.6,7,3362,14,4,1.2,3,44,3,Medium
R0048,253,13,3,86.6,12,8199,30,32,2.6,5,5,4,High
R0049,418,13,3,62.7,22,8586,34,7,8.6,6,12,15,High
R0050,88,25,7,84.4,17,9855,25,97,13.4,4,57,17,High
R0051,238,26,8,74.6,5,7877,33,34,11.4,6,45,9,High
R0052,412,24,8,76.3,7,4599,33,10,10.8,1,22,11,High
R0053,183,28,8,58.5,4,3888,29,89,2.7,1,9,14,High
R0054,228,10,8,75.5,1,3488,31,50,13.6,4,49,1,High
R0055,458,28,6,76.0,11,4992,29,110,13.4,6,31,18,High
R0056,402,23,8,90.2,7,8099,19,35,6.8,0,29,11,Medium
R0057,362,21,6,86.9,14,2191,39,4,13.7,4,41,1,High
R0058,62,20,6,61.0,14,3077,8,34,6.0,1,34,11,High
R0059,192,24,6,67.2,13,4233,10,61,0.8,4,8,12,High
R0060,134,20,1,89.4,20,759,6,32,3.4,0,44,5,Medium
R0061,142,4,4,84.5,18,3671,34,90,4.2,2,15,20,Medium
R0062,330,30,1,89.2,5,5196,11,75,0.9,2,41,13,Medium
R0063,223,30,3,58.3,22,4078,11,90,11.7,6,48,20,High
R0064,432,3,0,70.3,13,6171,9,65,9.9,0,59,14,Low
R0065,441,15,1,74.1,11,7632,14,56,3.1,4,46,9,Medium
R0066,335,25,8,89.1,14,7236,22,42,12.8,6,10,9,High
R0067,471,14,3,88.0,18,6309,26,4,7.7,2,16,16,Medium
R0068,128,11,4,70.0,19,4626,40,2,8.0,1,10,8,Medium
R0069,388,13,7,79.4,7,7900,36,58,12.0,0,23,8,Medium
R0070,227,22,3,68.5,18,6146,35,71,8.2,3,52,18,High
R0071,189,11,7,66.9,8,3877,12,93,3.3,0,52,18,Medium
R0072,410,22,2,63.4,23,8033,22,93,9.0,6,38,20,High
R0073,164,3,3,68.0,11,3039,24,2,10.8,1,22,2,Medium
R0074,47,17,4,85.7,4,8142,11,112,0.7,2,35,16,Medium
R0075,245,10,2,97.5,8,7927,12,106,1.4,3,9,19,Medium
R0076,342,21,0,61.7,25,9321,24,11,14.9,0,40,14,Medium
R0077,330,19,3,89.1,12,7481,33,39,13.0,3,24,19,Medium
R0078,337,1,1,96.7,6,3557,21,85,1.7,1,16,18,Low
R0079,58,5,0,73.0,22,9829,35,38,1.0,2,50,10,High
R0080,379,27,7,58.1,7,4434,17,55,2.2,1,46,5,High
R0081,485,8,2,58.1,5,5139,23,57,2.3,5,24,13,Medium
R0082,159,16,8,76.7,2,9898,7,114,6.8,2,43,9,High
R0083,33,2,2,97.3,18,9719,6,98,10.2,2,41,2,Medium
R0084,410,24,2,75.7,20,7345,22,24,15.0,3,45,16,Medium
R0085,66,15,5,73.0,10,1813,15,43,6.5,3,23,13,Medium
R0086,436,24,8,56.6,2,5253,21,42,2.2,6,30,17,High
R0087,442,0,0,75.3,1,3173,38,47,9.5,3,45,15,Low
R0088,409,1,1,66.8,4,4819,33,113,10.6,0,6,20,Low
R0089,429,7,2,68.7,0,9148,31,12,3.8,6,12,15,Medium
R0090,80,20,2,76.9,22,4881,37,91,4.5,6,35,16,High
R0091,144,14,8,61.4,6,9920,37,96,13.3,6,9,9,High
R0092,415,25,6,70.0,25,8418,22,106,0.5,5,24,19,High
R0093,316,21,7,93.1,14,8924,35,45,5.3,6,39,13,High
R0094,253,29,5,93.3,22,4012,29,30,12.9,3,7,11,High
R0095,401,15,6,72.0,21,2592,36,5,2.3,4,26,4,High
R0096,467,27,7,59.4,14,351,14,53,13.1,1,9,16,Medium
R0097,420,8,5,82.4,12,1415,26,110,10.3,4,29,11,Medium
R0098,340,22,7,93.4,1,1221,20,81,10.4,2,19,3,Medium
R0099,242,3,1,74.5,22,5006,6,6,5.2,0,23,12,Low
R0100,211,13,2,65.7,13,9372,16,22,3.0,4,60,13,High
R0101,337,21,3,76.9,18,2444,19,60,9.7,3,21,1,Medium
